instance,from,nb_toots,n,p,nb_toots_total,paverage,logratio
toot.martyn.berlin,writing.exchange,60,318,0.18867924528301888,3419,0.005610031438491477,3.5154921348959824
fantashley.dev,hachyderm.io,56,297,0.18855218855218855,6200,0.010173207054298672,2.9196173259926264
gabvp.masto.host,mamot.fr,39,207,0.18840579710144928,16099,0.02641588070437973,1.9646327607153429
social.dekloo.net,piaille.fr,65,345,0.18840579710144928,5742,0.009421702404158544,2.995582337276628
social.tyngsboroughma.net,fosstodon.org,79,420,0.1880952380952381,15642,0.025666016894087068,1.9917806031214107
ludosphere.fr,mamot.fr,56,298,0.18791946308724833,16099,0.02641588070437973,1.9620481120808102
zug.network,chaos.social,68,362,0.1878453038674033,19443,0.031902849154311144,1.7729234513478696
visalian.com,infosec.exchange,52,277,0.18772563176895307,20335,0.03336647829825218,1.7274297391461237
arlington.social,mathstodon.xyz,63,336,0.1875,1726,0.002832089576728953,4.192764039878315
betterodds.social,mastodon.nu,75,400,0.1875,2048,0.0033604400076134968,4.02170692536229
demoncore.info,sfba.social,72,384,0.1875,2667,0.004376119873195896,3.757616387339674
friendica.offsite.guru,convenient.email,60,320,0.1875,142,2.3299925834038894e-4,6.6904988539204275
hexagons.social,toot.wales,57,304,0.1875,3328,0.005460715012371932,3.536199109580589
mastodon.francil.in,framapiaf.org,63,336,0.1875,7801,0.012800191650094184,2.684318701933375
minohdon.jp,mstdn.kemono-friends.info,12,64,0.1875,872,0.0014308123469916841,4.875536487612709
pod.yargl.com,mamot.fr,60,320,0.1875,16099,0.02641588070437973,1.9598134742793938
xn--thelnd-eua.land,loma.ml,27,144,0.1875,2910,0.0047748439561305055,3.67041755135615
social.benh.codes,mastodon.me.uk,63,337,0.18694362017804153,2284,0.0037476782116158333,3.9096705703566297
masto.mtcrew.org,masto.mtcrew.org,54,289,0.18685121107266436,54,8.86053517632465e-5,7.653875656980928
social.edzilla.info,respublicae.eu,71,380,0.1868421052631579,4140,0.006793076968515565,3.3143599025948838
la-verite-vaincra.com,la-verite-vaincra.com,45,241,0.18672199170124482,64,1.0501375023792177e-4,7.483284818013352
soc.zom.bi,chaos.social,67,359,0.18662952646239556,19443,0.031902849154311144,1.7664301889002212
fedibird.com,fedibird.com,47,252,0.1865079365079365,6471,0.010617874652962373,2.865934924234729
lehrerzimmer.social,bildung.social,77,413,0.1864406779661017,1108,0.0018180505509940207,4.630348306678782
hrmtc.io,hrmtc.io,52,279,0.1863799283154122,68,1.1157710962779189e-4,7.420826576677315
tum.social,chaos.social,60,322,0.18633540372670807,19443,0.031902849154311144,1.7648529746752264
tty.social,respublicae.eu,73,392,0.18622448979591838,4140,0.006793076968515565,3.311048879631928
pouet.mickaelgillot.xyz,mastodon.art,63,339,0.18584070796460178,18951,0.031095555949357118,1.7878249845376322
masse.xn--qubec-csa.tk,mamot.fr,55,296,0.1858108108108108,16099,0.02641588070437973,1.9507636387594758
